day,hosp,icu,vent,scenario
11,67.0,27.0,14.0,test_soc_30
12,72.0,29.0,15.0,test_soc_30
13,77.0,31.0,16.0,test_soc_30
14,82.0,33.0,17.0,test_soc_30
15,87.0,35.0,18.0,test_soc_30
16,93.0,37.0,19.0,test_soc_30
17,99.0,40.0,20.0,test_soc_30
18,105.0,42.0,21.0,test_soc_30
19,112.0,45.0,23.0,test_soc_30
20,118.0,48.0,24.0,test_soc_30
21,126.0,51.0,26.0,test_soc_30
22,133.0,54.0,27.0,test_soc_30
23,141.0,57.0,29.0,test_soc_30
24,149.0,60.0,30.0,test_soc_30
25,157.0,63.0,32.0,test_soc_30
26,166.0,67.0,34.0,test_soc_30
27,175.0,70.0,35.0,test_soc_30
28,184.0,74.0,37.0,test_soc_30
29,193.0,78.0,39.0,test_soc_30
30,203.0,81.0,41.0,test_soc_30
31,212.0,85.0,43.0,test_soc_30
32,222.0,89.0,45.0,test_soc_30
33,231.0,93.0,47.0,test_soc_30
34,240.0,96.0,48.0,test_soc_30
35,250.0,100.0,50.0,test_soc_30
36,259.0,104.0,52.0,test_soc_30
37,267.0,107.0,54.0,test_soc_30
38,275.0,110.0,55.0,test_soc_30
39,283.0,113.0,57.0,test_soc_30
40,290.0,116.0,58.0,test_soc_30
41,296.0,119.0,60.0,test_soc_30
42,301.0,121.0,61.0,test_soc_30
43,305.0,122.0,61.0,test_soc_30
44,308.0,124.0,62.0,test_soc_30
45,310.0,124.0,62.0,test_soc_30
46,311.0,125.0,63.0,test_soc_30
47,310.0,124.0,62.0,test_soc_30
48,308.0,123.0,62.0,test_soc_30
49,304.0,122.0,61.0,test_soc_30
50,298.0,120.0,60.0,test_soc_30
51,291.0,117.0,59.0,test_soc_30
52,283.0,113.0,57.0,test_soc_30
53,273.0,109.0,55.0,test_soc_30
54,261.0,105.0,53.0,test_soc_30
55,247.0,99.0,50.0,test_soc_30
56,233.0,93.0,47.0,test_soc_30
57,217.0,87.0,44.0,test_soc_30
58,199.0,80.0,40.0,test_soc_30
